ts_utc,ticker,kind,side,price_c,contracts,cost,fee,spot,distance_bps
2026-08-08 15:53,KXBTC15M-26AUG081200-00,entry,yes,82,6,4.92,0.07,65040.54,2.44
2026-08-08 16:08,KXBTC15M-26AUG081215-15,entry,yes,77,6,4.62,0.08,65067.00,4.18
2026-08-08 16:38,KXBTC15M-26AUG081245-45,entry,no,91,5,4.55,0.03,65004.84,4.82
2026-08-08 16:53,KXBTC15M-26AUG081300-00,entry,yes,79,6,4.74,0.07,65023.21,0.60
2026-08-08 17:23,KXBTC15M-26AUG081330-30,entry,no,86,5,4.30,0.05,65064.93,2.70
2026-08-08 17:38,KXBTC15M-26AUG081345-45,entry,yes,89,5,4.45,0.04,65093.87,2.89
2026-08-08 18:08,KXBTC15M-26AUG081415-15,entry,no,66,7,4.62,0.11,65071.25,1.41
2026-08-08 18:23,KXBTC15M-26AUG081430-30,entry,no,94,5,4.70,0.02,65007.97,8.16
2026-08-08 18:38,KXBTC15M-26AUG081445-45,entry,yes,93,5,4.65,0.03,65018.54,2.99
2026-08-08 18:53,KXBTC15M-26AUG081500-00,entry,no,67,7,4.69,0.11,64999.00,1.75
2026-08-08 19:23,KXBTC15M-26AUG081530-30,entry,no,62,8,4.96,0.14,64970.01,2.09
2026-08-08 19:38,KXBTC15M-26AUG081545-45,entry,yes,81,6,4.86,0.07,64985.26,0.40
2026-08-08 19:53,KXBTC15M-26AUG081600-00,entry,yes,86,5,4.30,0.05,65019.24,2.84
2026-08-08 20:23,KXBTC15M-26AUG081630-30,entry,no,83,6,4.98,0.06,65011.69,3.29
2026-08-08 20:53,KXBTC15M-26AUG081700-00,entry,yes,66,7,4.62,0.11,65032.96,0.78
2026-08-08 21:23,KXBTC15M-26AUG081730-30,entry,no,68,7,4.76,0.11,64993.46,1.51
2026-08-08 21:38,KXBTC15M-26AUG081745-45,entry,yes,74,6,4.44,0.09,65001.59,1.34
2026-08-08 21:53,KXBTC15M-26AUG081800-00,entry,no,82,6,4.92,0.07,64983.25,3.65
2026-08-08 22:08,KXBTC15M-26AUG081815-15,entry,no,61,8,4.88,0.14,64964.02,0.29
2026-08-08 22:38,KXBTC15M-26AUG081845-45,entry,no,81,6,4.86,0.07,64927.32,3.17
2026-08-08 22:53,KXBTC15M-26AUG081900-00,entry,no,81,6,4.86,0.07,64907.25,2.79
2026-08-08 23:08,KXBTC15M-26AUG081915-15,entry,no,66,7,4.62,0.11,64890.94,1.28
2026-08-08 23:23,KXBTC15M-26AUG081930-30,entry,yes,94,5,4.70,0.02,64917.45,4.12
2026-08-08 23:38,KXBTC15M-26AUG081945-45,entry,yes,90,5,4.50,0.04,64916.71,4.20
2026-08-08 23:53,KXBTC15M-26AUG082000-00,entry,no,78,6,4.68,0.08,64905.28,1.66
