close_utc,ticker,strike,traded,skip_reason,side,entry_price_c,entry_spot,entry_distance_bps,adds,contracts,cost,fees,payout,gross_pnl,net_pnl,won
2026-08-10 01:15,KXBTC15M-26AUG092115-15,64914.62,0,odds 50c not above 60c,yes,,64921.07,0.99,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 01:30,KXBTC15M-26AUG092130-30,64949.09,1,,yes,70,64976.92,4.28,0,7,4.90,0.11,7.00,2.10,1.99,1
2026-08-10 01:45,KXBTC15M-26AUG092145-45,64974.15,1,,no,97,64874.01,15.41,0,5,4.85,0.02,5.00,0.15,0.13,1
2026-08-10 02:00,KXBTC15M-26AUG092200-00,64916.83,1,,yes,99,65160.00,37.46,0,5,4.95,0.01,5.00,0.05,0.04,1
2026-08-10 02:15,KXBTC15M-26AUG092215-15,65149.30,1,,no,94,65033.31,17.80,0,5,4.70,0.02,5.00,0.30,0.28,1
2026-08-10 02:30,KXBTC15M-26AUG092230-30,65061.94,1,,no,98,64921.06,21.65,0,5,4.90,0.01,5.00,0.10,0.09,1
2026-08-10 02:45,KXBTC15M-26AUG092245-45,64913.41,1,,yes,85,64943.83,4.69,0,5,4.25,0.05,5.00,0.75,0.70,1
2026-08-10 03:00,KXBTC15M-26AUG092300-00,65152.41,1,,no,97,65039.37,17.35,0,5,4.85,0.02,5.00,0.15,0.13,1
2026-08-10 03:15,KXBTC15M-26AUG092315-15,65049.18,1,,no,92,64999.70,7.61,0,5,4.60,0.03,5.00,0.40,0.37,1
2026-08-10 03:30,KXBTC15M-26AUG092330-30,64926.31,1,,yes,97,65033.29,16.48,0,5,4.85,0.02,5.00,0.15,0.13,1
2026-08-10 03:45,KXBTC15M-26AUG092345-45,65012.99,0,odds 25c not above 60c,no,,65011.94,0.16,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 04:00,KXBTC15M-26AUG100000-00,64966.65,1,,no,66,64941.51,3.87,0,7,4.62,0.11,7.00,2.38,2.27,1
2026-08-10 04:15,KXBTC15M-26AUG100015-15,64915.98,1,,yes,93,64997.14,12.50,0,5,4.65,0.03,5.00,0.35,0.32,1
2026-08-10 04:30,KXBTC15M-26AUG100030-30,65016.97,0,odds 53c not above 60c,yes,,65018.81,0.28,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 04:45,KXBTC15M-26AUG100045-45,64992.13,1,,no,76,64980.59,1.78,0,6,4.56,0.08,6.00,1.44,1.36,1
2026-08-10 05:00,KXBTC15M-26AUG100100-00,64956.22,1,,yes,74,64969.12,1.99,0,6,4.44,0.09,0.00,-4.44,-4.53,0
2026-08-10 05:15,KXBTC15M-26AUG100115-15,64951.06,1,,yes,85,64992.11,6.32,0,5,4.25,0.05,0.00,-4.25,-4.30,0
2026-08-10 05:30,KXBTC15M-26AUG100130-30,64939.18,1,,yes,89,64990.13,7.85,0,5,4.45,0.04,5.00,0.55,0.51,1
2026-08-10 05:45,KXBTC15M-26AUG100145-45,64991.01,1,,yes,73,65000.78,1.50,0,6,4.38,0.09,6.00,1.62,1.53,1
2026-08-10 06:00,KXBTC15M-26AUG100200-00,65030.72,0,odds 30c not above 60c,yes,,65047.62,2.60,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 06:15,KXBTC15M-26AUG100215-15,65086.84,1,,yes,83,65145.42,9.00,0,6,4.98,0.06,6.00,1.02,0.96,1
2026-08-10 06:30,KXBTC15M-26AUG100230-30,65156.78,1,,no,64,65147.14,1.48,0,7,4.48,0.12,7.00,2.52,2.40,1
2026-08-10 06:45,KXBTC15M-26AUG100245-45,65118.22,1,,yes,87,65145.20,4.14,0,5,4.35,0.04,5.00,0.65,0.61,1
2026-08-10 07:00,KXBTC15M-26AUG100300-00,65183.99,1,,yes,78,65223.41,6.05,0,6,4.68,0.08,6.00,1.32,1.24,1
2026-08-10 07:15,KXBTC15M-26AUG100315-15,65246.73,1,,no,84,65207.30,6.04,0,5,4.20,0.05,5.00,0.80,0.75,1
2026-08-10 07:30,KXBTC15M-26AUG100330-30,65216.13,1,,yes,67,65239.63,3.60,0,7,4.69,0.11,7.00,2.31,2.20,1
2026-08-10 07:45,KXBTC15M-26AUG100345-45,65272.70,1,,yes,92,65305.01,4.95,0,5,4.60,0.03,5.00,0.40,0.37,1
2026-08-10 08:00,KXBTC15M-26AUG100400-00,65282.90,1,,no,98,65150.01,20.36,0,5,4.90,0.01,5.00,0.10,0.09,1
2026-08-10 08:15,KXBTC15M-26AUG100415-15,65160.44,1,,yes,93,65204.71,6.79,0,5,4.65,0.03,5.00,0.35,0.32,1
2026-08-10 08:30,KXBTC15M-26AUG100430-30,65219.15,1,,yes,72,65236.16,2.61,0,6,4.32,0.09,6.00,1.68,1.59,1
2026-08-10 08:45,KXBTC15M-26AUG100445-45,65242.54,1,,no,89,65197.56,6.89,0,5,4.45,0.04,5.00,0.55,0.51,1
2026-08-10 09:00,KXBTC15M-26AUG100500-00,65176.31,0,odds 15c not above 60c,no,,65168.79,1.15,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 09:15,KXBTC15M-26AUG100515-15,65200.45,1,,no,91,65146.28,8.31,0,5,4.55,0.03,5.00,0.45,0.42,1
2026-08-10 09:30,KXBTC15M-26AUG100530-30,65174.95,1,,no,74,65135.29,6.09,0,6,4.44,0.09,6.00,1.56,1.47,1
2026-08-10 09:45,KXBTC15M-26AUG100545-45,65120.23,1,,no,98,65017.97,15.70,0,5,4.90,0.01,5.00,0.10,0.09,1
2026-08-10 10:00,KXBTC15M-26AUG100600-00,65007.08,1,,no,95,64900.03,16.47,0,5,4.75,0.02,5.00,0.25,0.23,1
2026-08-10 10:15,KXBTC15M-26AUG100615-15,64923.37,1,,yes,96,64970.77,7.30,0,5,4.80,0.02,5.00,0.20,0.18,1
2026-08-10 10:30,KXBTC15M-26AUG100630-30,64995.62,0,odds 25c not above 60c,no,,64991.76,0.59,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 10:45,KXBTC15M-26AUG100645-45,64969.58,0,odds 38c not above 60c,no,,64966.06,0.54,0,0,0.00,0.00,0.00,0.00,0.00,
